observation_date,TRESEGCNM052N
1977-12-01,2345.00000000000
1978-01-01,
1978-02-01,
1978-03-01,2645.00000000000
1978-04-01,
1978-05-01,
1978-06-01,2612.00000000000
1978-07-01,
1978-08-01,
1978-09-01,2359.00000000000
1978-10-01,
1978-11-01,
1978-12-01,1557.00000000000
1979-01-01,
1979-02-01,
1979-03-01,1865.00000000000
1979-04-01,
1979-05-01,
1979-06-01,1888.00000000000
1979-07-01,
1979-08-01,
1979-09-01,1690.00000000000
1979-10-01,
1979-11-01,
1979-12-01,2154.00000000000
1980-01-01,
1980-02-01,
1980-03-01,2272.00000000000
1980-04-01,
1980-05-01,
1980-06-01,3761.03896366435
1980-07-01,3972.28837613656
1980-08-01,4004.02015058993
1980-09-01,4170.40089809093
1980-10-01,3721.42749369355
1980-11-01,3484.46909108530
1980-12-01,2545.17985904546
1981-01-01,2934.52877191730
1981-02-01,2973.33656332506
1981-03-01,2376.14760625456
1981-04-01,2573.94630359448
1981-05-01,3216.30999662096
1981-06-01,3822.10433663415
1981-07-01,4247.58151581457
1981-08-01,4960.15599668927
1981-09-01,3936.38566062516
1981-10-01,4429.06570902872
1981-11-01,4112.75067904899
1981-12-01,5058.08904285110
1982-01-01,5476.28099204692
1982-02-01,5175.33896806213
1982-03-01,5460.17586849418
1982-04-01,6076.68229035334
1982-05-01,6555.77967652291
1982-06-01,7287.12517091161
1982-07-01,8382.09278375425
1982-08-01,8804.10285094241
1982-09-01,9443.93711821041
1982-10-01,10165.92981994280
1982-11-01,10681.29906211530
1982-12-01,11348.87047335870
1983-01-01,11955.64067904200
1983-02-01,12308.16519183320
1983-03-01,12609.06356607490
1983-04-01,13192.48412728360
1983-05-01,13368.73256360750
1983-06-01,13212.13482638210
1983-07-01,13183.93919583230
1983-08-01,13749.05254391420
1983-09-01,14379.81708303970
1983-10-01,14596.54175703840
1983-11-01,14805.21639774460
1983-12-01,14986.65277758540
1984-01-01,15276.37938895830
1984-02-01,15470.25315976190
1984-03-01,16057.93377522850
1984-04-01,16553.42931997320
1984-05-01,16834.34027660850
1984-06-01,17108.96860981920
1984-07-01,17612.07453007040
1984-08-01,17204.25826521900
1984-09-01,17302.17182817180
1984-10-01,16967.43208733630
1984-11-01,16158.40742206440
1984-12-01,17366.03372965920
1985-01-01,15801.85735943240
1985-02-01,15507.17192746810
1985-03-01,14375.87034170880
1985-04-01,14033.75264394250
1985-05-01,14161.85066031180
1985-06-01,14298.46843429300
1985-07-01,12715.81242349430
1985-08-01,12224.20525138740
1985-09-01,13365.99807189090
1985-10-01,13008.94789635000
1985-11-01,13562.07560453010
1985-12-01,12728.14718804920
1986-01-01,11970.61637610140
1986-02-01,12005.64490215800
1986-03-01,11199.48084869040
1986-04-01,11816.66371109050
1986-05-01,11795.05128146510
1986-06-01,11362.03804712620
1986-07-01,11475.77466245050
1986-08-01,11447.25774216130
1986-09-01,11295.22719992230
1986-10-01,10900.83958088590
1986-11-01,11413.10050348570
1986-12-01,11452.99918045820
1987-01-01,10867.07643554320
1987-02-01,11170.06783646430
1987-03-01,11784.46682437040
1987-04-01,12487.19011416780
1987-05-01,12907.88710196200
1987-06-01,13550.76538097790
1987-07-01,13142.54323115330
1987-08-01,14348.15481301400
1987-09-01,14948.94314561020
1987-10-01,16196.33027280530
1987-11-01,16664.14170707920
1987-12-01,16304.94692788950
1988-01-01,16709.58296895500
1988-02-01,17406.54406260630
1988-03-01,18148.23255136440
1988-04-01,18569.83299882340
1988-05-01,18814.92026641550
1988-06-01,19143.20445609440
1988-07-01,19053.65285484620
1988-08-01,19006.71242705690
1988-09-01,18970.35263755550
1988-10-01,19036.54641381440
1988-11-01,19520.59442250670
1988-12-01,18541.33880582960
1989-01-01,18282.67258330930
1989-02-01,18889.47806322020
1989-03-01,18637.40433315670
1989-04-01,19103.49768725460
1989-05-01,18469.71844297970
1989-06-01,15092.72340213380
1989-07-01,14521.59933050080
1989-08-01,14482.78492452290
1989-09-01,15107.75281876700
1989-10-01,15952.32763423550
1989-11-01,16415.98991720000
1989-12-01,17959.86632323180
1990-01-01,18843.02189877780
1990-02-01,19916.09124188520
1990-03-01,22271.79082654730
1990-04-01,24113.88776586740
1990-05-01,25250.38730500270
1990-06-01,24369.28489726750
1990-07-01,25455.63182476170
1990-08-01,26122.93887988020
1990-09-01,26843.57178665920
1990-10-01,26666.30200881360
1990-11-01,26980.02061664460
1990-12-01,29586.16115861210
1991-01-01,30733.60259978770
1991-02-01,32348.35456560030
1991-03-01,34093.60818288300
1991-04-01,33924.71615135020
1991-05-01,35585.43631000270
1991-06-01,36140.02621132060
1991-07-01,38575.84648221770
1991-08-01,39853.31412527580
1991-09-01,40921.09439124490
1991-10-01,41480.05684690960
1991-11-01,43060.18846822960
1991-12-01,43674.29910311980
1992-01-01,42863.92098092640
1992-02-01,44381.42101193110
1992-03-01,44455.89849108370
1992-04-01,46311.41306194010
1992-05-01,48828.94087995870
1992-06-01,46123.94889299160
1992-07-01,26454.27751140890
1992-08-01,25433.78551833560
1992-09-01,24300.53988452930
1992-10-01,23845.18232176250
1992-11-01,23275.96664019060
1992-12-01,20620.36191510720
1993-01-01,21291.19560561050
1993-02-01,21434.89410890480
1993-03-01,20965.02893283950
1993-04-01,20815.69749298630
1993-05-01,20654.11578189530
1993-06-01,20059.17086905500
1993-07-01,20207.86250905710
1993-08-01,20375.75409289190
1993-09-01,20847.11586496250
1993-10-01,20911.07946972160
1993-11-01,22076.24180314110
1993-12-01,22386.84924355180
1994-01-01,26355.00262880310
1994-02-01,29065.11429450990
1994-03-01,29826.46258595650
1994-04-01,31368.85102929320
1994-05-01,31779.94401530720
1994-06-01,33100.32387838340
1994-07-01,36373.39894237320
1994-08-01,37561.65906623240
1994-09-01,41242.28866623820
1994-10-01,45004.17623847630
1994-11-01,50293.50465719980
1994-12-01,52914.06288439610
1995-01-01,56098.00458073430
1995-02-01,58718.61804601840
1995-03-01,59351.56491438330
1995-04-01,61406.26198375060
1995-05-01,62157.79483070000
1995-06-01,64226.86034760540
1995-07-01,67194.75212564880
1995-08-01,69086.97324109729
1995-09-01,71426.18197839940
1995-10-01,74656.31723698840
1995-11-01,76150.95341962911
1995-12-01,75376.70286951039
1996-01-01,77862.62138221069
1996-02-01,81560.68249417670
1996-03-01,82701.22626084030
1996-04-01,83681.87117711120
1996-05-01,86895.11294621220
1996-06-01,88605.88993370740
1996-07-01,91713.49613243800
1996-08-01,95214.97815411210
1996-09-01,97362.31880140370
1996-10-01,100858.84042733200
1996-11-01,104325.73911083800
1996-12-01,107039.42503940000
1997-01-01,110628.89254847501
1997-02-01,112219.43739171499
1997-03-01,113962.11560955799
1997-04-01,116285.67925819100
1997-05-01,119475.75387788699
1997-06-01,122825.29578880301
1997-07-01,127821.08133492200
1997-08-01,132289.37001169901
1997-09-01,136024.33700802899
1997-10-01,139901.30652155299
1997-11-01,141254.76880325601
1997-12-01,142762.46774615700
1998-01-01,143686.98863304601
1998-02-01,143734.21259714899
1998-03-01,143982.06800860801
1998-04-01,143375.27453338401
1998-05-01,144253.30972986901
1998-06-01,143956.91651220800
1998-07-01,144240.91728055800
1998-08-01,144566.41718230300
1998-09-01,145015.69220663601
1998-10-01,147711.16675562700
1998-11-01,148636.61103773199
1998-12-01,149187.89572312601
1999-01-01,149207.76811328300
1999-02-01,150410.67362603801
1999-03-01,150496.52036830099
1999-04-01,150727.04399319499
1999-05-01,150372.76943794699
1999-06-01,150565.33205267601
1999-07-01,152327.55834172299
1999-08-01,153996.09905014199
1999-09-01,154730.81370234801
1999-10-01,156021.74438875500
1999-11-01,156816.45619934099
1999-12-01,157727.87449199901
2000-01-01,159038.67928719701
2000-02-01,159491.07178137600
2000-03-01,159768.69762276800
2000-04-01,159503.22144242300
2000-05-01,160700.95311173800
2000-06-01,161285.02927839101
2000-07-01,161366.85259924299
2000-08-01,161723.91845141299
2000-09-01,162584.73806232700
2000-10-01,163801.11617333099
2000-11-01,166363.19289867900
2000-12-01,168277.58322584300
2001-01-01,171297.99646482200
2001-02-01,178004.33627500801
2001-03-01,178890.60712192100
2001-04-01,180226.39179943799
2001-05-01,182044.24466421301
2001-06-01,183861.42626947101
2001-07-01,187518.46702045601
2001-08-01,193173.32569071499
2001-09-01,199284.45932662199
2001-10-01,206519.60120957100
2001-11-01,211793.18685912699
2001-12-01,215605.12761714001
2002-01-01,220749.35202111499
2002-02-01,226702.71444109501
2002-03-01,230869.77998980001
2002-04-01,237171.08149325699
2002-05-01,241895.99583246201
2002-06-01,246749.03321239399
2002-07-01,250497.70444473499
2002-08-01,257203.84435833301
2002-09-01,262963.75208357302
2002-10-01,269869.28113671101
2002-11-01,278983.31729390402
2002-12-01,291127.82820521202
2003-01-01,309214.80467693898
2003-02-01,312923.75785769499
2003-03-01,320871.13205543498
2003-04-01,331066.12571600202
2003-05-01,344978.65557636600
2003-06-01,351364.07144097902
2003-07-01,361340.26170836494
2003-08-01,369553.45745073503
2003-09-01,388880.94731499202
2003-10-01,405995.35378104093
2003-11-01,425427.33014360303
2003-12-01,408150.65904859296
2004-01-01,420607.50831238495
2004-02-01,431539.43003839295
2004-03-01,444427.21791952493
2004-04-01,453536.52660844801
2004-05-01,463079.60453659506
2004-06-01,475113.82664271799
2004-07-01,487419.50129011401
2004-08-01,500639.91057979403
2004-09-01,519001.10729238001
2004-10-01,546984.98338154401
2004-11-01,578446.73645255109
2004-12-01,614499.52434960101
2005-01-01,627984.73875784804
2005-02-01,647002.58202271594
2005-03-01,663190.35263412399
2005-04-01,674843.15348912706
2005-05-01,695037.34570960398
2005-06-01,714950.15430633200
2005-07-01,736337.72754488396
2005-08-01,756562.16193533503
2005-09-01,772265.46127900702
2005-10-01,788161.76238469791
2005-11-01,797452.71062861406
2005-12-01,821513.84969556611
2006-01-01,847811.04542596603
2006-02-01,856228.30967739201
2006-03-01,877636.67433436494
2006-04-01,897492.42761565908
2006-05-01,927527.63560513605
2006-06-01,943610.12804823904
2006-07-01,957068.54736347008
2006-08-01,974583.84952947695
2006-09-01,990451.04278237501
2006-10-01,1012004.36698892002
2006-11-01,1040927.09429173998
2006-12-01,1068493.02986990009
2007-01-01,1106814.55681381002
2007-02-01,1159368.96489417995
2007-03-01,1204035.01302550989
2007-04-01,1248568.50482287002
2007-05-01,1294638.17438850994
2007-06-01,1334590.64347105008
2007-07-01,1387187.80610763002
2007-08-01,1410611.66316674999
2007-09-01,1435612.75819148007
2007-10-01,1456922.15375967999
2007-11-01,1498941.89151448989
2007-12-01,1530281.62304336997
2008-01-01,1591861.82800488011
2008-02-01,1649221.31336727994
2008-03-01,1684280.18454895006
2008-04-01,1758731.65941540990
2008-05-01,1799217.17869378999
2008-06-01,1811063.37773282989
2008-07-01,1847384.57503388007
2008-08-01,1886314.07990982989
2008-09-01,1907729.46041306993
2008-10-01,1881712.89473872003
2008-11-01,1887930.46422699001
2008-12-01,1949259.95357011002
2009-01-01,1916573.56459279009
2009-02-01,1915104.66791197006
2009-03-01,1956829.62150993990
2009-04-01,2011977.46006931993
2009-05-01,2093082.50503890007
2009-06-01,2135201.11130393017
2009-07-01,2178216.98480220977
2009-08-01,2223850.56407388998
2009-09-01,2288469.29649979994
2009-10-01,2344287.16672548978
2009-11-01,2405300.40024210978
2009-12-01,2416043.68706778996
2010-01-01,2431961.07061390998
2010-02-01,2441208.18174035987
2010-03-01,2463547.33339211997
2010-04-01,2506900.07269744016
2010-05-01,2456191.41012495011
2010-06-01,2471211.23853559978
2010-07-01,2556433.04359216988
2010-08-01,2565270.15783764981
2010-09-01,2666868.03530933987
2010-10-01,2779799.81969847018
2010-11-01,2786104.34116685018
2010-12-01,2866079.31631537993
2011-01-01,2952375.23179326998
2011-02-01,3012155.33058574004
2011-03-01,3067170.82174377004
2011-04-01,3168475.71207907004
2011-05-01,3188318.66466304008
2011-06-01,3219760.43998319004
2011-07-01,3267381.82887614006
2011-08-01,3284372.71184071014
2011-09-01,3222986.86029712018
2011-10-01,3295496.01502801012
2011-11-01,3242161.71188679012
2011-12-01,3202788.47356348997
2012-01-01,3275782.90907695005
2012-02-01,3331301.91309922980
2012-03-01,3326601.46003512992
2012-04-01,3320613.10441843979
2012-05-01,3226641.24134358019
2012-06-01,3260684.00799595984
2012-07-01,3260210.08716499992
2012-08-01,3292652.89868710982
2012-09-01,3305307.03321103984
2012-10-01,3307207.43435904989
2012-11-01,3317109.77159393020
2012-12-01,3331120.01377381012
2013-01-01,3430093.73075333983
2013-02-01,3414507.25810586009
2013-03-01,3461598.81266940990
2013-04-01,3553491.22942367010
2013-05-01,3533032.69792944985
2013-06-01,3515214.99129207991
2013-07-01,3566613.02673623990
2013-08-01,3571166.00048639998
2013-09-01,3681034.36606147047
2013-10-01,3754808.12510574004
2013-11-01,3807719.59228128940
2013-12-01,3839547.76025292976
2014-01-01,3884644.30472165998
2014-02-01,3931977.42574891029
2014-03-01,3966050.55065247044
2014-04-01,3996796.52761300979
2014-05-01,4001511.50036581978
2014-06-01,4010833.60828307038
2014-07-01,3984242.57366235042
2014-08-01,3986410.90990070021
2014-09-01,3904950.28698284971
2014-10-01,3869760.77071816940
2014-11-01,3864037.22156732017
2014-12-01,3859167.96299108956
2015-01-01,3829024.27032946004
2015-02-01,3816861.98840706004
2015-03-01,3744729.00092528947
2015-04-01,3763465.01063672965
2015-05-01,3726293.54468723992
2015-06-01,3708950.61097491998
2015-07-01,3666142.43931240961
2015-08-01,3572636.79986859998
2015-09-01,3529276.37548235990
2015-10-01,3540505.95834799996
2015-11-01,3453059.08778291987
2015-12-01,3345193.76388814021
2016-01-01,3244925.23018814996
2016-02-01,3223325.31797588011
2016-03-01,3233786.80442482000
2016-04-01,3240866.52881998988
2016-05-01,3212599.11548777996
2016-06-01,3226017.21413083980
2016-07-01,3221190.12194031011
2016-08-01,3205213.40622211015
2016-09-01,3186399.58976477990
2016-10-01,3140566.61291253008
2016-11-01,3071217.01162747014
2016-12-01,3029775.30537839979
2017-01-01,3017673.92810573988
2017-02-01,3024529.86397034023
2017-03-01,3028475.17207416007
2017-04-01,3049091.07619463978
2017-05-01,3073321.27648482006
2017-06-01,3076295.07638857001
2017-07-01,3099711.35813973984
2017-08-01,3110825.11074332008
2017-09-01,3127808.21785529982
2017-10-01,3128204.72403402999
2017-11-01,3138006.43387096003
2017-12-01,3158876.94721304020
2018-01-01,3180492.33525187988
2018-02-01,3153325.38410420995
2018-03-01,3161783.55072097015
2018-04-01,3143582.22242370993
2018-05-01,3128983.62539914018
2018-06-01,3131516.98954073014
2018-07-01,3137279.05221751006
2018-08-01,3129124.60150957992
2018-09-01,3106349.96905751992
2018-10-01,3072488.04475047998
2018-11-01,3081044.67262928979
2018-12-01,3091881.25719908020
2019-01-01,3107195.14169595996
2019-02-01,3109442.78919924004
2019-03-01,3117892.63416540017
2019-04-01,3114006.70531411003
2019-05-01,3119969.24713800009
2019-06-01,3138278.57135608001
2019-07-01,3123085.56717950990
2019-08-01,3126444.12266886001
2019-09-01,3111631.04653235991
2019-10-01,3124582.84972508997
2019-11-01,3114954.95000994997
2019-12-01,3127493.85803635977
2020-01-01,3134967.86787599977
2020-02-01,3125925.09976200992
2020-03-01,3079722.20775642013
2020-04-01,3111307.01994674001
2020-05-01,3121640.26105812984
2020-06-01,3132890.94428707985
2020-07-01,3175529.57847756008
2020-08-01,3185741.04735762998
2020-09-01,3163405.47231160011
2020-10-01,3148891.68759845989
2020-11-01,3199686.22344923997
2020-12-01,3238782.37143371021
2021-01-01,3232949.76055314997
2021-02-01,3227245.91756429011
2021-03-01,3191634.62983250013
2021-04-01,3220011.82696784008
2021-05-01,3243778.69563897979
2021-06-01,3235723.81319699017
2021-07-01,3257656.75848475983
2021-08-01,3295312.46211407986
2021-09-01,3264064.26110894978
2021-10-01,3281736.34740220988
2021-11-01,3286139.76583458995
2021-12-01,3313920.33062885003
2022-01-01,3285770.43665787997
2022-02-01,3278104.54653823003
2022-03-01,3251625.77701070020
2022-04-01,3182038.72537640017
2022-05-01,3190404.24958259985
2022-06-01,3133187.68327233987
2022-07-01,3165993.70876725018
2022-08-01,3116343.16047400003
2022-09-01,3089365.62050649989
2022-10-01,3113218.61193975993
2022-11-01,3178709.03740592021
2022-12-01,3189689.10881377989
2023-01-01,3247415.19217160018
2023-02-01,3195596.16328911996
2023-03-01,3247256.61966565996
2023-04-01,3268238.79136729008
2023-05-01,3239253.45951897977
2023-06-01,3254813.12287221011
2023-07-01,3265263.57982480014
2023-08-01,3222723.05952682998
2023-09-01,3176997.44866201002
2023-10-01,3163119.24766740995
2023-11-01,3234727.83368864981
2023-12-01,3301319.72751897993
2024-01-01,3282504.85198917007
2024-02-01,3289057.62056344002
2024-03-01,3308705.39678177005
2024-04-01,3263670.21269402979
2024-05-01,3295323.20777578978
2024-06-01,3285272.78458599979
2024-07-01,3319868.86211514007
2024-08-01,3352918.46865641000
2024-09-01,3381380.83628321998
2024-10-01,3324874.87733518984
2024-11-01,3328994.42805693997
